taxon_name,area
Sarracenia × ahlesii,Alabama
Sarracenia alabamensis subsp. wherryi,Alabama
Sarracenia alabamensis subsp. wherryi,Florida
Sarracenia alabamensis subsp. wherryi,Mississippi
Sarracenia alabamensis,Alabama
Sarracenia alata,Texas
Sarracenia alata,Alabama
Sarracenia alata,Louisiana
Sarracenia alata,Mississippi
Sarracenia × areolata,Alabama
Sarracenia × areolata,Mississippi
Sarracenia × catesbaei,Alabama
Sarracenia × catesbaei,Georgia
Sarracenia × catesbaei,North Carolina
Sarracenia × catesbaei,South Carolina
Sarracenia × catesbaei,Virginia
Sarracenia × charlesmoorei,North Carolina
Sarracenia × courtii,Alabama
Sarracenia × courtii,Florida
Sarracenia × courtii,Georgia
Sarracenia × courtii,Mississippi
Sarracenia × excellens,Florida
Sarracenia × excellens,Georgia
Sarracenia × exornata,Alabama
Sarracenia × exornata,Mississippi
Sarracenia × farnhamii nothosubsp. bellii,Florida
Sarracenia × farnhamii,Alabama
Sarracenia × farnhamii,Florida
Sarracenia × farnhamii,Georgia
Sarracenia × farnhamii,Mississippi
Sarracenia flava,Alabama
Sarracenia flava,Florida
Sarracenia flava,Georgia
Sarracenia flava,North Carolina
Sarracenia flava,South Carolina
Sarracenia flava,Virginia
Sarracenia × flavopurpurea,Alabama
Sarracenia × flavopurpurea,Florida
Sarracenia × flavopurpurea,Georgia
Sarracenia × flavopurpurea,Mississippi
Sarracenia × flavopurpurea,North Carolina
Sarracenia × flavopurpurea,South Carolina
Sarracenia × formosa,Florida
Sarracenia × formosa,Georgia
Sarracenia × gilpinii,Alabama
Sarracenia × gilpinii,Florida
Sarracenia × gilpinii,Georgia
Sarracenia × harperi,Florida
Sarracenia × harperi,Georgia
Sarracenia × harperi,North Carolina
Sarracenia × harperi,South Carolina
Sarracenia jonesii,North Carolina
Sarracenia jonesii,South Carolina
Sarracenia leucophylla,Alabama
Sarracenia leucophylla,Florida
Sarracenia leucophylla,Georgia
Sarracenia leucophylla,Mississippi
Sarracenia minor,Florida
Sarracenia minor,Georgia
Sarracenia minor,North Carolina
Sarracenia minor,South Carolina
Sarracenia × mitchelliana,Alabama
Sarracenia × mitchelliana,Florida
Sarracenia × mitchelliana,Georgia
Sarracenia × mitchelliana,Mississippi
Sarracenia × moorei,Alabama
Sarracenia × moorei,Florida
Sarracenia × moorei,Georgia
Sarracenia × naczii,Florida
Sarracenia oreophila,Alabama
Sarracenia oreophila,Georgia
Sarracenia oreophila,North Carolina
Sarracenia × popei,Alabama
Sarracenia × popei,Florida
Sarracenia × popei,Georgia
Sarracenia × popei,North Carolina
Sarracenia × popei,South Carolina
Sarracenia psittacina,Alabama
Sarracenia psittacina,Florida
Sarracenia psittacina,Georgia
Sarracenia psittacina,Louisiana
Sarracenia psittacina,Mississippi
Sarracenia purpurea subsp. venosa,Georgia
Sarracenia purpurea subsp. venosa,North Carolina
Sarracenia purpurea subsp. venosa,South Carolina
Sarracenia purpurea,Alaska
Sarracenia purpurea,Nunavut
Sarracenia purpurea,Northwest Territorie
Sarracenia purpurea,Alberta
Sarracenia purpurea,British Columbia
Sarracenia purpurea,Manitoba
Sarracenia purpurea,Saskatchewan
Sarracenia purpurea,Labrador
Sarracenia purpurea,New Brunswick
Sarracenia purpurea,Newfoundland
Sarracenia purpurea,Nova Scotia
Sarracenia purpurea,Ontario
Sarracenia purpurea,Prince Edward I.
Sarracenia purpurea,Québec
Sarracenia purpurea,Illinois
Sarracenia purpurea,Iowa
Sarracenia purpurea,Minnesota
Sarracenia purpurea,Connecticut
Sarracenia purpurea,Indiana
Sarracenia purpurea,Maine
Sarracenia purpurea,Massachusetts
Sarracenia purpurea,Michigan
Sarracenia purpurea,New Hampshire
Sarracenia purpurea,New Jersey
Sarracenia purpurea,New York
Sarracenia purpurea,Ohio
Sarracenia purpurea,Pennsylvania
Sarracenia purpurea,Rhode I.
Sarracenia purpurea,Vermont
Sarracenia purpurea,West Virginia
Sarracenia purpurea,Delaware
Sarracenia purpurea,Georgia
Sarracenia purpurea,Maryland
Sarracenia purpurea,North Carolina
Sarracenia purpurea,South Carolina
Sarracenia purpurea,Virginia
Sarracenia × rehderi,Florida
Sarracenia × rehderi,Georgia
Sarracenia × rehderi,North Carolina
Sarracenia × rehderi,South Carolina
Sarracenia rosea,Alabama
Sarracenia rosea,Florida
Sarracenia rosea,Georgia
Sarracenia rosea,Mississippi
Sarracenia rubra subsp. gulfensis,Alabama
Sarracenia rubra subsp. gulfensis,Florida
Sarracenia rubra subsp. gulfensis,Georgia
Sarracenia rubra subsp. viatorum,Georgia
Sarracenia rubra,Georgia
Sarracenia rubra,North Carolina
Sarracenia rubra,South Carolina
Sarracenia × swaniana,Florida
Sarracenia × swaniana,Georgia
Sarracenia × swaniana,North Carolina
Sarracenia × swaniana,South Carolina
Sarracenia × wrigleyana,Alabama
Sarracenia × wrigleyana,Florida
Sarracenia × wrigleyana,Georgia
Sarracenia × wrigleyana,Mississippi
Sarracenia,Alaska
Sarracenia,Nunavut
Sarracenia,Northwest Territorie
Sarracenia,Alberta
Sarracenia,British Columbia
Sarracenia,Manitoba
Sarracenia,Saskatchewan
Sarracenia,Labrador
Sarracenia,New Brunswick
Sarracenia,Newfoundland
Sarracenia,Nova Scotia
Sarracenia,Ontario
Sarracenia,Prince Edward I.
Sarracenia,Québec
Sarracenia,Illinois
Sarracenia,Iowa
Sarracenia,Minnesota
Sarracenia,Connecticut
Sarracenia,Indiana
Sarracenia,Maine
Sarracenia,Massachusetts
Sarracenia,Michigan
Sarracenia,New Hampshire
Sarracenia,New Jersey
Sarracenia,New York
Sarracenia,Ohio
Sarracenia,Pennsylvania
Sarracenia,Rhode I.
Sarracenia,Vermont
Sarracenia,West Virginia
Sarracenia,Texas
Sarracenia,Alabama
Sarracenia,Delaware
Sarracenia,Florida
Sarracenia,Georgia
Sarracenia,Louisiana
Sarracenia,Maryland
Sarracenia,Mississippi
Sarracenia,North Carolina
Sarracenia,South Carolina
Sarracenia,Virginia
